Date        West     East     DMI(=West-East)
1906:3:16:0 -0.199627 0.142663 -0.34229
1906:4:16:0 -0.378821 0.20252 -0.581342
1906:5:16:0 -0.18659 0.00977061 -0.19636
1906:6:16:0 -0.153037 0.0157086 -0.168746
1906:7:16:0 -0.537844 0.128033 -0.665878
1906:8:16:0 -0.495985 0.272835 -0.76882
1906:9:16:0 -0.761429 0.46449 -1.22592
1906:10:16:0 -0.497415 0.119304 -0.616719
1906:11:16:0 -0.616024 -0.0986944 -0.51733
1906:12:16:0 -0.519663 -0.407271 -0.112392
1907:1:16:0 -0.220532 -0.0420585 -0.178474
1907:2:16:0 -0.205595 -0.209281 0.0036861
1907:3:16:0 -0.240469 -0.362152 0.121684
1907:4:16:0 -0.20452 -0.0399186 -0.164601
1907:5:16:0 -0.402294 -0.320309 -0.0819847
1907:6:16:0 -0.520585 -0.391156 -0.129429
1907:7:16:0 -0.553665 -0.272286 -0.281379
1907:8:16:0 -0.816957 -0.186605 -0.630352
1907:9:16:0 -0.32823 -0.194688 -0.133542
1907:10:16:0 -0.28506 -0.261685 -0.0233753
1907:11:16:0 -0.295505 -0.183401 -0.112104
1907:12:16:0 -0.189489 -0.198605 0.00911634
1908:1:16:0 -0.239129 -0.0333446 -0.205784
1908:2:16:0 -0.241737 -0.0812475 -0.16049
1908:3:16:0 -0.463795 -0.375679 -0.0881158
1908:4:16:0 -0.550977 0.0318393 -0.582816
1908:5:16:0 -0.244863 -0.233421 -0.0114423
1908:6:16:0 -0.0357802 -0.289109 0.253328
1908:7:16:0 -0.421567 -0.146398 -0.275169
1908:8:16:0 -0.18737 -0.0315476 -0.155823
1908:9:16:0 -0.303979 -0.370588 0.0666094
1908:10:16:0 -0.220943 -0.136826 -0.0841168
1908:11:16:0 -0.342417 -0.117991 -0.224426
1908:12:16:0 -0.57762 -0.230335 -0.347285
1909:1:16:0 -0.535821 6.43404e-05 -0.535885
1909:2:16:0 -0.468545 -0.165118 -0.303427
1909:3:16:0 -0.426518 -0.049871 -0.376647
1909:4:16:0 -0.286062 -0.0482223 -0.23784
1909:5:16:0 -0.554448 0.0195725 -0.57402
1909:6:16:0 -0.68544 0.0102102 -0.69565
1909:7:16:0 -0.643607 0.0605246 -0.704132
1909:8:16:0 -0.633573 0.0482194 -0.681793
1909:9:16:0 -0.463396 0.0609327 -0.524329
1909:10:16:0 -0.42956 -0.0912699 -0.33829
1909:11:16:0 -0.323281 -0.183761 -0.13952
1909:12:16:0 -0.217394 -0.200998 -0.0163964
1910:1:16:0 -0.335599 0.0274464 -0.363045
1910:2:16:0 -0.423838 -0.437944 0.0141062
1910:3:16:0 -0.519395 -0.195529 -0.323867
1910:4:16:0 -0.689727 -0.504951 -0.184776
1910:5:16:0 -0.571696 -0.266368 -0.305328
1910:6:16:0 -0.442089 -0.200034 -0.242054
1910:7:16:0 -0.580644 0.129951 -0.710595
1910:8:16:0 -0.632507 -0.124648 -0.507859
1910:9:16:0 -0.643437 -0.0185042 -0.624933
1910:10:16:0 -0.648339 0.0051697 -0.653509
1910:11:16:0 -0.668296 -0.267507 -0.400789
1910:12:16:0 -0.464429 -0.406728 -0.0577015
1911:1:16:0 -0.167307 -0.172338 0.00503035
1911:2:16:0 -0.519609 -0.213954 -0.305655
1911:3:16:0 -0.308581 0.253653 -0.562235
1911:4:16:0 -0.578527 -0.0402146 -0.538312
1911:5:16:0 -0.322225 -0.110816 -0.211408
1911:6:16:0 -0.667353 -0.0701655 -0.597187
1911:7:16:0 -0.59572 -0.147071 -0.44865
1911:8:16:0 -0.356597 -0.0708027 -0.285795
1911:9:16:0 -0.406519 -0.256364 -0.150156
1911:10:16:0 -0.434882 -0.159369 -0.275513
1911:11:16:0 -0.236799 -0.272809 0.0360102
1911:12:16:0 -0.18896 -0.265197 0.0762366
1912:1:16:0 -0.179957 -0.103026 -0.0769311
1912:2:16:0 -0.173176 -0.0579459 -0.11523
1912:3:16:0 -0.22127 -0.327389 0.106119
1912:4:16:0 -0.0415191 0.0194926 -0.0610117
1912:5:16:0 -0.141696 -0.295118 0.153422
1912:6:16:0 0.00163396 -0.210478 0.212112
1912:7:16:0 -0.320665 0.0289691 -0.349634
1912:8:16:0 -0.276324 0.186056 -0.462379
1912:9:16:0 -0.223799 0.109653 -0.333452
1912:10:16:0 -0.24683 -0.0317794 -0.215051
